# ID,Conference,Nickname,Alias 0,Alias 1,...Alias n
232,Northeast,Seahawks,Wagner College,Wagner
233,Ohio Valley,Governors,Austin Peay State University,Austin Peay
234,Ohio Valley,Bruins,Belmont University,Belmont
235,Ohio Valley,Panthers,Eastern Illinois University,Eastern Illinois
236,Ohio Valley,Colonels,Eastern Kentucky University,Eastern Kentucky
237,Ohio Valley,Gamecocks,Jacksonville State University,Jacksonville State
238,Ohio Valley,Eagles,Morehead State University,Morehead State
239,Ohio Valley,Racers,Murray State University,Murray State
240,Ohio Valley,Redhawks,Southeast Missouri State University,SE Missouri State
241,Ohio Valley,Cougars,Southern Illinois University Edwardsville,SIU Edwardsville
242,Ohio Valley,Skyhawks,University of Tennessee at Martin,UT–Martin
243,Ohio Valley,Tigers,Tennessee State University,Tennessee State
244,Ohio Valley,Golden Eagles,Tennessee Technological University,Tennessee Tech
245,Pac-12,Wildcats,University of Arizona,Arizona
246,Pac-12,Sun Devils,Arizona State University,Arizona State
247,Pac-12,Golden Bears,University of California Berkeley,California
248,Pac-12,Buffaloes,University of Colorado Boulder,Colorado
249,Pac-12,Ducks,University of Oregon,Oregon
250,Pac-12,Beavers,Oregon State University,Oregon State
251,Pac-12,Cardinal,Stanford University,Stanford
252,Pac-12,Bruins,University of California Los Angeles,UCLA
253,Pac-12,Trojans,University of Southern California,USC
254,Pac-12,Utes,University of Utah,Utah
255,Pac-12,Huskies,University of Washington,Washington
256,Pac-12,Cougars,Washington State University,Washington State
257,Patriot League,Eagles,American University,American
258,Patriot League,Black Knights,United States Military Academy,Army
259,Patriot League,Terriers,Boston University,BU
260,Patriot League,Bison,Bucknell University,Bucknell,BUCKN
261,Patriot League,Raiders,Colgate University,Colgate
262,Patriot League,Crusaders,College of the Holy Cross,Holy Cross
263,Patriot League,Leopards,Lafayette College,Lafayette
264,Patriot League,Mountain Hawks,Lehigh University,Lehigh,LEHIH
265,Patriot League,Greyhounds,Loyola University Maryland,Loyola MD
266,Patriot League,Midshipmen,United States Naval Academy,Navy
267,SEC,Crimson Tide,University of Alabama,Alabama,ALA
268,SEC,Razorbacks,University of Arkansas,Arkansas,ARK
269,SEC,Tigers,Auburn University,Auburn
270,SEC,Gators,University of Florida,Florida
271,SEC,Bulldogs,University of Georgia,Georgia,GA
272,SEC,Wildcats,University of Kentucky,Kentucky,KENTY
273,SEC,Tigers,Louisiana State University,LSU
274,SEC,Rebels,University of Mississippi,Ole Miss
275,SEC,Bulldogs,Mississippi State University,Mississippi State,Mississippi St,MISST
276,SEC,Tigers,University of Missouri,Missouri,MIZZU
277,SEC,Gamecocks,University of South Carolina,South Carolina
278,SEC,Volunteers,University of Tennessee,Tennessee
279,SEC,Aggies,Texas A&M University,Texas A&M,TEXAM
280,SEC,Commodores,Vanderbilt University,Vanderbilt
281,Southern,Mocs,University of Tennessee at Chattanooga,Chattanooga
282,Southern,Bulldogs,The Citadel,Citadel
283,Southern,Buccaneers,East Tennessee State University,East Tennessee State
284,Southern,Paladins,Furman University,Furman
285,Southern,Bears,Mercer University,Mercer
286,Southern,Bulldogs,Samford University,Samford
287,Southern,Spartans,University of North Carolina at Greensboro,UNC Greensboro
288,Southern,Keydets,Virginia Military Institute,VMI
289,Southern,Catamounts,Western Carolina University,Western Carolina
290,Southern,Terriers,Wofford College,Wofford
291,Southland,Wildcats,Abilene Christian University,Abilene Christian
292,Southland,Bears,University of Central Arkansas,Central Arkansas
293,Southland,Huskies,Houston Baptist University,Houston Baptist
294,Southland,Cardinals,University of the Incarnate Word,Incarnate Word
295,Southland,Cardinals,Lamar University,Lamar
296,Southland,Cowboys,McNeese State University,McNeese State
297,Southland,Privateers,University of New Orleans,New Orleans
298,Southland,Colonels,Nicholls State University,Nicholls
299,Southland,Demons,Northwestern State University,Northwestern State
300,Southland,Bearkats,Sam Houston State University,Sam Houston State
301,Southland,Lions,Southeastern Louisiana University,SE Louisiana
302,Southland,Lumberjacks,Stephen F. Austin State University,Stephen F. Austin,SF Austin
303,Southland,Islanders,Texas A&M University-Corpus Christi
304,SWAC,Bulldogs,Alabama Agricultural and Mechanical University,Alabama A&M,ALA&M
305,SWAC,Hornets,Alabama State University,Alabama State,ALAST
306,SWAC,Braves,Alcorn State University,Alcorn State,ALCRN
307,SWAC,Golden Lions,University of Arkansas at Pine Bluff,Arkansas–Pine Bluff,ARKPB,Ark-Pine Bluff
308,SWAC,Tigers,Grambling State University,Grambling State,Grambling,GRAMB
309,SWAC,Tigers,Jackson State University,Jackson State,JACKS
310,SWAC,Delta Devils,Mississippi Valley State University,Miss Valley State,MSVAL,Miss Valley St
311,SWAC,Panthers,Prairie View A&M University,Prairie View A&M
312,SWAC,Jaguars,Southern University,Southern,SUTHR
313,SWAC,Tigers,Texas Southern University,Texas Southern
314,The Summit,Pioneers,University of Denver,Denver
315,The Summit,Fighting Hawks,University of North Dakota,North Dakota
316,The Summit,Bison,North Dakota State University,North Dakota State
317,The Summit,Mavericks,University of Nebraska Omaha,Omaha
318,The Summit,Golden Eagles,Oral Roberts University,Oral Roberts
319,The Summit,Mastodons,Purdue University Fort Wayne,Purdue Fort Wayne
320,The Summit,Coyotes,University of South Dakota,South Dakota
321,The Summit,Jackrabbits,South Dakota State University,South Dakota State
322,The Summit,Leathernecks,Western Illinois University,Western Illinois
323,Sun Belt,Mountaineers,Appalachian State University,Appalachian State
324,Sun Belt,Red Wolves,Arkansas State University,Arkansas State
325,Sun Belt,Chanticleers,Coastal Carolina University,Coastal Carolina
326,Sun Belt,Eagles,Georgia Southern University,Georgia Southern
327,Sun Belt,Panthers,Georgia State University,Georgia State
328,Sun Belt,Trojans,University of Arkansas at Little Rock,Little Rock
329,Sun Belt,Ragin' Cajuns,University of Louisiana at Lafayette,Louisiana
330,Sun Belt,Warhawks,University of Louisiana at Monroe,Louisiana–Monroe or ULM
331,Sun Belt,Jaguars,University of South Alabama,South Alabama
332,Sun Belt,Mavericks,University of Texas at Arlington,UT Arlington
333,Sun Belt,Bobcats,Texas State University,Texas State
334,Sun Belt,Trojans,Troy University,Troy
335,West Coast,Cougars,Brigham Young University,BYU
336,West Coast,Bulldogs,Gonzaga University,Gonzaga
337,West Coast,Lions,Loyola Marymount University,Loyola Marymount
338,West Coast,Tigers,University of the Pacific,Pacific
339,West Coast,Waves,Pepperdine University,Pepperdine
340,West Coast,Pilots,University of Portland,Portland
341,West Coast,Gaels,Saint Mary's College of California,Saint Mary's
342,West Coast,Toreros,University of San Diego,San Diego
343,West Coast,Dons,University of San Francisco,San Francisco
344,West Coast,Broncos,Santa Clara University,Santa Clara
345,WAC,Lancers,California Baptist University,California Baptist
346,WAC,Roadrunners,California State University Bakersfield,Cal State Bakersfield
347,WAC,Cougars,Chicago State University,Chicago State
348,WAC,Antelopes,Grand Canyon University,Grand Canyon
349,WAC,Kangaroos,University of Missouri–Kansas City,UMKC
350,WAC,Aggies,New Mexico State University,New Mexico State
351,WAC,Redhawks,Seattle University,Seattle
352,WAC,Wolverines,Utah Valley University,Utah Valley
353,WAC,Vaqueros,University of Texas Rio Grande Valley,UTRGV
